"Location","Year","Series","Series Code","Permits"
"Madison, WI",2000,"Total Units",1.0,4776.0
"Madison, WI",2001,"Total Units",1.0,5696.0
"Madison, WI",2002,"Total Units",1.0,5201.0
"Madison, WI",2003,"Total Units",1.0,6430.0
"Madison, WI",2004,"Total Units",1.0,5576.0
"Madison, WI",2005,"Total Units",1.0,5391.0
"Madison, WI",2006,"Total Units",1.0,3909.0
"Madison, WI",2007,"Total Units",1.0,2747.0
"Madison, WI",2008,"Total Units",1.0,1968.0
"Madison, WI",2009,"Total Units",1.0,1474.0
"Madison, WI",2010,"Total Units",1.0,1252.0
"Madison, WI",2011,"Total Units",1.0,1460.0
"Madison, WI",2012,"Total Units",1.0,2472.0
"Madison, WI",2013,"Total Units",1.0,3014.0
"Madison, WI",2014,"Total Units",1.0,3808.0
"Madison, WI",2015,"Total Units",1.0,3497.0
"Madison, WI",2016,"Total Units",1.0,4952.0
"Madison, WI",2017,"Total Units",1.0,4630.0
"Madison, WI",2018,"Total Units",1.0,3651.0
"Madison, WI",2019,"Total Units",1.0,3342.0
"Madison, WI",2000,"Units in Single-Family Structures",2.0,2609.0
"Madison, WI",2001,"Units in Single-Family Structures",2.0,2967.0
"Madison, WI",2002,"Units in Single-Family Structures",2.0,3138.0
"Madison, WI",2003,"Units in Single-Family Structures",2.0,3498.0
"Madison, WI",2004,"Units in Single-Family Structures",2.0,3446.0
"Madison, WI",2005,"Units in Single-Family Structures",2.0,3083.0
"Madison, WI",2006,"Units in Single-Family Structures",2.0,2070.0
"Madison, WI",2007,"Units in Single-Family Structures",2.0,1598.0
"Madison, WI",2008,"Units in Single-Family Structures",2.0,864.0
"Madison, WI",2009,"Units in Single-Family Structures",2.0,822.0
"Madison, WI",2010,"Units in Single-Family Structures",2.0,844.0
"Madison, WI",2011,"Units in Single-Family Structures",2.0,735.0
"Madison, WI",2012,"Units in Single-Family Structures",2.0,895.0
"Madison, WI",2013,"Units in Single-Family Structures",2.0,1258.0
"Madison, WI",2014,"Units in Single-Family Structures",2.0,1246.0
"Madison, WI",2015,"Units in Single-Family Structures",2.0,1405.0
"Madison, WI",2016,"Units in Single-Family Structures",2.0,1612.0
"Madison, WI",2017,"Units in Single-Family Structures",2.0,1654.0
"Madison, WI",2018,"Units in Single-Family Structures",2.0,1622.0
"Madison, WI",2019,"Units in Single-Family Structures",2.0,1535.0
"Madison, WI",2000,"Units in All Multi-Family Structures",3.0,2167.0
"Madison, WI",2001,"Units in All Multi-Family Structures",3.0,2729.0
"Madison, WI",2002,"Units in All Multi-Family Structures",3.0,2063.0
"Madison, WI",2003,"Units in All Multi-Family Structures",3.0,2932.0
"Madison, WI",2004,"Units in All Multi-Family Structures",3.0,2130.0
"Madison, WI",2005,"Units in All Multi-Family Structures",3.0,2308.0
"Madison, WI",2006,"Units in All Multi-Family Structures",3.0,1839.0
"Madison, WI",2007,"Units in All Multi-Family Structures",3.0,1149.0
"Madison, WI",2008,"Units in All Multi-Family Structures",3.0,1104.0
"Madison, WI",2009,"Units in All Multi-Family Structures",3.0,652.0
"Madison, WI",2010,"Units in All Multi-Family Structures",3.0,408.0
"Madison, WI",2011,"Units in All Multi-Family Structures",3.0,725.0
"Madison, WI",2012,"Units in All Multi-Family Structures",3.0,1577.0
"Madison, WI",2013,"Units in All Multi-Family Structures",3.0,1756.0
"Madison, WI",2014,"Units in All Multi-Family Structures",3.0,2562.0
"Madison, WI",2015,"Units in All Multi-Family Structures",3.0,2092.0
"Madison, WI",2016,"Units in All Multi-Family Structures",3.0,3340.0
"Madison, WI",2017,"Units in All Multi-Family Structures",3.0,2976.0
"Madison, WI",2018,"Units in All Multi-Family Structures",3.0,2029.0
"Madison, WI",2019,"Units in All Multi-Family Structures",3.0,1807.0
"Madison, WI",2000,"Units in 2-unit Multi-Family Structures",4.0,330.0
"Madison, WI",2001,"Units in 2-unit Multi-Family Structures",4.0,272.0
"Madison, WI",2002,"Units in 2-unit Multi-Family Structures",4.0,262.0
"Madison, WI",2003,"Units in 2-unit Multi-Family Structures",4.0,330.0
"Madison, WI",2004,"Units in 2-unit Multi-Family Structures",4.0,310.0
"Madison, WI",2005,"Units in 2-unit Multi-Family Structures",4.0,282.0
"Madison, WI",2006,"Units in 2-unit Multi-Family Structures",4.0,194.0
"Madison, WI",2007,"Units in 2-unit Multi-Family Structures",4.0,106.0
"Madison, WI",2008,"Units in 2-unit Multi-Family Structures",4.0,72.0
"Madison, WI",2009,"Units in 2-unit Multi-Family Structures",4.0,20.0
"Madison, WI",2010,"Units in 2-unit Multi-Family Structures",4.0,36.0
"Madison, WI",2011,"Units in 2-unit Multi-Family Structures",4.0,30.0
"Madison, WI",2012,"Units in 2-unit Multi-Family Structures",4.0,34.0
